"Bill of Material for PCB_DC_Motor_Drive.PrjPCB"
"On 12/16/2018 at 6:39:19 PM"

"Comment","Pattern","Quantity","Components"

"100uF/25V","CAP 5MM","2","C14, C15",""
"10K_Pot","Header-3-Pin","1","H1",""
"10K_Resistor_Pack","HDR1X9","1","P1","Header, 9-Pin"
"1N4148","SOD-80","8","D4, D5, D6, D7, D10, D11, D12, D13",""
"2.54mm DIP-4 SMD","DIP8","2","S1, S2","DIP Switch, 4 Position, SPST"
"3.3V Regulator","SOT-223","1","U3",""
"7.3728MHz","XTAL","1","Y1",""
"CAN Connector","Header-2-Pin","1","H3",""
"CAN Transciver","SOIC-8","1","U9",""
"CRA2512","SMD2512","1","R30",""
"Diode SMA","DO-214(SMA)","3","D1, D2, D3",""
"DSP","Quad64","1","U11",""
"Electrolyte Cap","CAP 5MM","1","C1",""
"Electrolyte Cap","CAP_8mm","2","C3, C7",""
"Ferrite Bead","SMD0805","3","FB1, FB2, FB3",""
"Header 2 pin","Header-2-Pin","1","H5",""
"Header 5X2","HDR2X5","1","P2","Header, 5-Pin, Dual row"
"Heatsink","Heatsink_25mm","5","HS1, HS2, HS3, HS4, HS5",""
"LED","LED","2","LD1, LD2",""
"LM317","TO220_Normal","1","U1",""
"LM358","SOIC-8","3","U4, U7, U8",""
"LM5109B","SOIC-8","2","U5, U6",""
"LM7805","TO220_Normal","1","U2",""
"MAX485","SOIC-8","1","U10",""
"N MOSFET","SO8-L","4","M3, M4, M5, M6",""
"NPN Transistor","SOT23-3-Leads","1","Q1",""
"P MOSFET","SO8-L","2","M1, M2",""
"Phonix 2 Pin","PHONIX2","7","J1, J2, J3, J4, J5, J6, J7",""
"PICkit3","Header1x6","1","H6",""
"RS485 Connector","Header-3-Pin","1","H4",""
"Series Resistor","Axial_2W_Vert","1","R1",""
"SMD 0603 1%","SMD0603","6","R44, R45, R47, R49, R52, R55",""
"SMD 0805 10%","SMD0805","38","C2, C4, C5, C6, C8, C9, C10, C11, C12, C13, C16, C18, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45",""
"SMD 1206 1%","SMD1206","61","R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R46, R48, R50, R51, R53, R54, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69",""
"SMD 1206 10%","SMD1206","2","C17, C19",""
"Thermistor","Header-2-Pin","1","H2",""
"Through hole TestPoint","TP","36","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, T17, T18, T19, T20, T21, T22, T23, T24, T25, T26, T27, T28, T29, T30, T31, T32, T33, T34, T35, T36",""
"UF4007","DO-214(SMA)","2","D8, D9",""
